"type","id","lat","lon","keyType","keyValue"
"node",21225885,45.4800714,9.1897116,"highway","traffic_signals"
"node",21226218,45.4846358,9.1950971,"highway","traffic_signals"
"node",21226476,45.482916,9.1930807,"highway","traffic_signals"
"node",21226533,45.4797497,9.1921747,"highway","traffic_signals"
"node",21306381,45.484641,9.1953072,"highway","traffic_signals"
"node",21306400,45.4828461,9.1932163,"highway","traffic_signals"
"node",25543629,45.4812237,9.196929,"highway","traffic_signals"
"node",25543769,45.4829285,9.1933055,"highway","traffic_signals"
"node",25543813,45.4829983,9.1931699,"highway","traffic_signals"
"node",53763220,45.4847095,9.1951986,"highway","traffic_signals"
"node",91567648,45.4848999,9.1948574,"railway","station"
"node",232856408,45.4802356,9.1930426,"highway","traffic_signals"
"node",241474729,45.4795073,9.1928487,"highway","traffic_signals"
"node",260484047,45.4796686,9.1928998,"highway","traffic_signals"
"node",263049100,45.4851659,9.1944725,"highway","give_way"
"node",282557079,45.4831777,9.1949519,"highway","crossing"
"node",282558109,45.4856893,9.1916803,"highway","crossing"
"node",308840682,45.4807013,9.1904496,"highway","traffic_signals"
"node",316535174,45.4799468,9.1928141,"amenity","bicycle_rental"
"node",468943094,45.4831233,9.1931461,"highway","crossing"
"node",537514838,45.4801092,9.1929921,"highway","crossing"
"node",787822236,45.484563,9.1952091,"highway","traffic_signals"
"node",1107696118,45.483312,9.1947206,"highway","crossing"
"node",1111714813,45.4810934,9.1967181,"highway","traffic_signals"
"node",1276981428,45.4840439,9.1958492,"amenity","bicycle_rental"
"node",1328900899,45.4801997,9.1888232,"highway","crossing"
"node",1408151059,45.4815544,9.1896928,"highway","crossing"
"node",1408151060,45.4816397,9.1895116,"highway","crossing"
"node",1463921325,45.4829442,9.1944526,"amenity","parking_entrance"
"node",1463921328,45.4829775,9.1938157,"highway","crossing"
"node",1463921329,45.4829784,9.1935308,"highway","crossing"
"node",1463921351,45.4830309,9.1946721,"amenity","parking_entrance"
"node",1463921362,45.4831477,9.1944276,"highway","crossing"
"node",1463921365,45.4831733,9.1948291,"highway","crossing"
"node",1463921372,45.4832137,9.1940846,"amenity","parking"
"node",1463921374,45.4832324,9.194769,"highway","crossing"
"node",1463921383,45.4832989,9.1940015,"amenity","parking_entrance"
"node",1463921387,45.4833272,9.1942048,"amenity","parking_entrance"
"node",1463921393,45.4834039,9.1941756,"barrier","swing_gate"
"node",1463921395,45.4834335,9.1942438,"barrier","swing_gate"
"node",1463921427,45.4838858,9.1954039,"amenity","parking_entrance"
"node",1479248935,45.4797889,9.1938722,"highway","crossing"
"node",1479259661,45.4807153,9.1904709,"highway","traffic_signals"
"node",1484905503,45.4844019,9.1953017,"railway","subway_entrance"
"node",1484905505,45.4847027,9.1947889,"railway","subway_entrance"
"node",1523573724,45.4797449,9.1930759,"highway","crossing"
"node",1523573726,45.4797342,9.1929204,"highway","crossing"
"node",1523573806,45.4807944,9.1906646,"highway","crossing"
"node",1523573811,45.4808546,9.1905668,"highway","crossing"
"node",1523574009,45.4816069,9.1916987,"highway","crossing"
"node",1523574013,45.4816797,9.1915709,"highway","crossing"
"node",1523604714,45.479824,9.1922056,"highway","crossing"
"node",1523604747,45.4800369,9.1899415,"highway","crossing"
"node",1523604759,45.4801137,9.1899704,"highway","crossing"
"node",1523604763,45.4801672,9.1899417,"highway","give_way"
"node",1523604786,45.4802156,9.1923154,"highway","crossing"
"node",1583651469,45.4842987,9.1954739,"railway","subway_entrance"
"node",1598229892,45.4800462,9.1922078,"highway","bus_stop"
"node",1693183357,45.4835959,9.1950784,"amenity","vending_machine"
"node",1725740894,45.479497,9.1929639,"highway","crossing"
"node",1725740900,45.4796055,9.1938525,"highway","give_way"
"node",1725740909,45.4796579,9.1930051,"highway","crossing"
"node",1725740913,45.4796719,9.1938005,"highway","crossing"
"node",1725740915,45.4797618,9.1929965,"highway","give_way"
"node",1725740920,45.4801305,9.1897851,"highway","crossing"
"node",1730563192,45.4797721,9.1950113,"railway","tram_stop"
"node",1769318219,45.4857715,9.1927925,"barrier","gate"
"node",1831141814,45.482795,9.1933157,"highway","crossing"
"node",1831141817,45.4828745,9.1934096,"highway","crossing"
"node",1946779114,45.4796333,9.1943857,"highway","traffic_signals"
"node",1946779119,45.4796786,9.1945822,"highway","traffic_signals"
"node",1946779126,45.4801751,9.1928904,"highway","crossing"
"node",1946779127,45.4802434,9.1924337,"highway","crossing"
"node",1946779128,45.4802259,9.1930225,"highway","traffic_signals"
"node",1946779137,45.4806781,9.1905919,"highway","crossing"
"node",1946783555,45.4812814,9.1970527,"highway","crossing"
"node",1973121652,45.4846499,9.1947328,"amenity","bicycle_rental"
"node",2091579081,45.4822106,9.1921108,"highway","crossing"
"node",2091579088,45.4853831,9.1903431,"barrier","bollard"
"node",2095552621,45.4840897,9.1962556,"amenity","taxi"
"node",2095618239,45.4856008,9.1914383,"amenity","restaurant"
"node",2095618249,45.4854061,9.1904206,"barrier","bollard"
"node",2095618252,45.4855185,9.1904001,"highway","crossing"
"node",2095675769,45.4806429,9.1889643,"amenity","pharmacy"
"node",2154522224,45.4852736,9.1937394,"barrier","gate"
"node",2157550551,45.4832209,9.1944247,"amenity","bicycle_parking"
"node",2157550552,45.4840935,9.1953474,"amenity","bicycle_parking"
"node",2161119627,45.4812016,9.1915463,"amenity","restaurant"
"node",2161119650,45.4805955,9.1903152,"highway","crossing"
"node",2161119651,45.4806598,9.1906332,"highway","crossing"
"node",2192353217,45.4829508,9.190758,"amenity","bicycle_parking"
"node",2203364275,45.4828245,9.1898379,"amenity","taxi"
"node",2299781966,45.4803212,9.1905302,"amenity","bicycle_parking"
"node",2353216950,45.482937,9.1903869,"highway","crossing"
"node",2381386931,45.485485,9.1903198,"highway","crossing"
"node",2430052881,45.4816674,9.1918869,"highway","bus_stop"
"node",2430118089,45.4820807,9.1919672,"highway","bus_stop"
"node",2476881430,45.483028,9.194915,"amenity","cafe"
"node",2476881436,45.4831411,9.1947989,"barrier","swing_gate"
"node",2476881438,45.4831888,9.1947148,"barrier","swing_gate"
"node",2476920316,45.4803273,9.1950955,"amenity","parking"
"node",2476920317,45.4802826,9.1946709,"amenity","parking_entrance"
"node",2476920318,45.4800207,9.1951544,"highway","crossing"
"node",2476920320,45.4801179,9.195113,"amenity","restaurant"
"node",2476931148,45.48293,9.1952991,"amenity","parking_entrance"
"node",2483811062,45.4851454,9.1937771,"barrier","gate"
"node",2485358765,45.4794739,9.1942589,"highway","crossing"
"node",2488582272,45.4860031,9.1939688,"highway","crossing"
"node",2491530881,45.4856305,9.1916935,"highway","crossing"
"node",2491530916,45.4856213,9.1915986,"amenity","bar"
"node",2494931748,45.4810038,9.1906411,"highway","crossing"
"node",2494980682,45.4796495,9.1941585,"natural","tree"
"node",2511317374,45.4826408,9.1895252,"amenity","parking_entrance"
